Matriz A|B: 
25.9912 3.597 9.8469 4.2332 34.7726 27.3573 42.4294 23.7293 32.5902 5.2457 15.5347 30.4976 23.8243 2.6875 3.1043 8.26 22.7991 28.6107 1.9863 22.3779 |40.4554
27.515 11.6134 21.8972 3.9585 47.0922 14.4264 13.874 20.5405 5.8629 9.4681 39.0348 16.536 11.3016 40.0497 3.8644 24.1319 23.7222 43.7957 0.9373 13.2087 |10.1067
24.0127 12.7567 38.8971 27.4739 24.1394 24.671 21.4854 31.284 44.3081 48.467 23.1294 45.4513 15.062 43.9511 35.4743 44.6662 45.4353 20.8848 6.953 39.5928 |48.7878
17.2247 24.1012 39.3125 40.5014 23.8175 28.1473 19.417 34.4578 13.5618 26.2925 20.0502 25.928 30.4854 2.6948 44.9628 11.1522 32.9802 2.6331 31.4438 7.3993 |30.4491
38.301 2.5536 5.3225 11.5662 3.8627 45.2881 38.9639 41.9614 7.9155 1.6839 24.1143 49.5188 2.2456 41.3303 41.1228 0.8342 2.339 40.4997 3.2865 28.6288 |49.0677
29.4035 18.7453 14.1898 14.5555 14.8429 6.2584 40.2102 15.0716 8.5625 16.0001 32.6796 25.9817 3.1318 4.4688 28.8178 28.2966 21.9404 46.9778 6.0105 44.2187 |43.4887
47.4318 27.8799 4.1246 35.6247 29.6943 17.3475 49.8659 17.7255 48.7461 35.9461 0.4752 3.0264 33.6818 27.0865 29.9132 49.8034 12.0512 17.8282 44.7058 0.859 |43.3943
26.0571 42.346 26.8624 31.302 23.3236 38.2144 3.7498 17.4426 43.6287 47.8138 13.9971 20.8457 29.8216 37.2478 27.5096 31.5582 27.0015 19.1845 26.213 24.6012 |30.3153
35.545 33.7343 30.1752 7.1046 5.7773 16.5032 49.2501 34.6238 47.7127 34.9745 16.0034 31.7337 45.7497 37.9706 46.8178 47.497 19.1735 14.9837 27.3104 7.9055 |33.671
36.4029 40.765 27.4499 43.7357 20.4064 24.801 24.0493 4.8495 6.613 39.5465 7.0996 16.5272 2.2924 19.8485 4.6905 8.5942 44.1106 32.1502 3.4548 28.9755 |26.78
20.5734 28.5464 7.9724 9.7784 2.3351 32.5191 25.6488 8.9284 11.9055 45.8057 5.6992 17.495 12.6232 20.0658 30.9219 37.0543 42.1311 17.5571 47.2811 4.5041 |40.7279
16.9235 2.488 16.7162 3.2648 20.8257 19.8963 37.5233 0.8241 20.3117 8.3805 16.4194 23.7695 13.9425 42.4739 37.1793 17.9694 18.9548 40.3722 5.2048 26.7414 |17.5335
24.9236 35.073 19.7356 41.2959 18.8251 13.0565 38.1969 9.8102 6.6108 35.7143 32.8824 43.8445 44.2042 43.6896 49.2848 23.3128 27.369 27.762 38.2494 25.0142 |33.5339
8.1347 49.8483 37.7969 14.2606 32.7716 39.9544 14.6147 3.6723 31.1751 27.1158 25.5338 10.034 46.4516 39.6304 1.1259 46.6044 44.7934 31.5724 32.706 7.3429 |17.1401
27.5424 3.3831 9.471 36.8023 43.4264 41.4315 18.1645 20.452 4.3419 46.0158 14.6602 5.6187 33.4496 8.1363 40.1052 12.5039 17.3538 4.2424 11.4864 3.9262 |0.9459
28.0826 19.5612 6.933 41.8091 20.494 14.9644 33.6951 32.0018 41.491 48.9065 5.843 8.6043 38.8255 5.4775 29.762 12.8112 9.7328 40.4439 2.2981 48.1627 |32.749
32.6374 6.9866 22.8888 11.758 5.123 22.8841 43.3391 21.9157 30.3355 20.726 0.7067 37.361 25.7343 32.7891 42.9858 7.2287 23.7361 49.701 31.2349 44.4439 |5.8962
17.9171 36.9246 13.3357 9.284 11.7589 7.9458 41.5403 13.6596 22.3272 27.6684 1.1278 33.5705 26.3999 40.1055 21.5612 13.2327 22.7153 40.5347 22.6012 2.7225 |34.1086
6.182 29.2679 32.4382 4.7003 14.1065 0.4651 37.9867 40.4509 9.3526 32.5984 47.7834 0.1777 46.9684 47.6789 0.9149 40.5299 39.0676 9.2677 42.9246 28.1954 |36.2167
49.0218 44.2264 49.3287 28.8533 49.3146 2.9371 46.475 42.784 35.5059 10.5379 39.8764 21.7893 33.5127 44.3185 27.8742 29.3751 0.9935 33.8722 38.0926 19.1896 |28.7823


Método de Gauss-Jacobi


 Sistema não oedece aos critérios de convergência suficientes
logo a convergência não é uma certeza 

iteração: 0

iteração: 1
x(k-1).1 = 0.0  x(k).1 = 1.5565037397272923
x(k-1).4 = 578.4427352102097  x(k).4 = -14885.122059976135
x(k-1).5 = 5296.221403985886  x(k).5 = -136241.5274691395
x(k-1).6 = 3259.1211725069415  x(k).6 = -84228.51362101293
x(k-1).7 = 471.5981658843109  x(k).7 = -11919.867512813029
x(k-1).8 = 1607.7102127231067  x(k).8 = -40536.49330647889
x(k-1).9 = 498.1640449014882  x(k).9 = -12480.00490321166
x(k-1).10 = 553.3289965500985  x(k).10 = -13655.868395319996
x(k-1).11 = 3192.464255939815  x(k).11 = -79766.79021839038
x(k-1).12 = 750.2437397023953  x(k).12 = -19660.196595143763
x(k-1).13 = 597.4887912184811  x(k).13 = -15092.69744496384
x(k-1).14 = 745.2725787064617  x(k).14 = -19423.661732221273
x(k-1).15 = 576.5690246300511  x(k).15 = -15408.803278151749
x(k-1).16 = 1685.0945461009162  x(k).16 = -42489.441222859896
x(k-1).17 = 795.3484088656669  x(k).17 = -19843.2007519332
x(k-1).18 = 416.10810688061866  x(k).18 = -10047.037439491474
x(k-1).19 = 565.2751036181606  x(k).19 = -15000.185916130387
x(k-1).20 = 1754.5541391574968  x(k).20 = -45192.57966805228
dr = 1.0388737670691894  precisão: 1e-10


iteração: 5
x(k-1).1 = -20877.181830533234  x(k).1 = 533790.4958405361
x(k-1).2 = -56940.52498199214  x(k).2 = 1453212.5736072005
x(k-1).3 = -19087.575211110856  x(k).3 = 488765.94612544717
x(k-1).4 = -14885.122059976135  x(k).4 = 383438.313011941
x(k-1).5 = -136241.5274691395  x(k).5 = 3500100.4020555657
x(k-1).6 = -84228.51362101293  x(k).6 = 2157173.1725939335
x(k-1).7 = -11919.867512813029  x(k).7 = 307783.1700647475
x(k-1).8 = -40536.49330647889  x(k).8 = 1047472.2250884844
x(k-1).9 = -12480.00490321166  x(k).9 = 321841.612959613
x(k-1).10 = -13655.868395319996  x(k).10 = 354001.1008981198
x(k-1).11 = -79766.79021839038  x(k).11 = 2062036.067733548
x(k-1).12 = -19660.196595143763  x(k).12 = 503768.3849333461
x(k-1).13 = -15092.69744496384  x(k).13 = 389244.2664803493
x(k-1).14 = -19423.661732221273  x(k).14 = 500011.8540284639
x(k-1).15 = -15408.803278151749  x(k).15 = 394993.77086418663
x(k-1).16 = -42489.441222859896  x(k).16 = 1091909.8458851425
x(k-1).17 = -19843.2007519332  x(k).17 = 511679.22105292755
x(k-1).18 = -10047.037439491474  x(k).18 = 261027.93790666768
x(k-1).19 = -15000.185916130387  x(k).19 = 382740.7256615537
x(k-1).20 = -45192.57966805228  x(k).20 = 1164123.5735039322
dr = 1.0389250340902012  precisão: 1e-10


iteração: 6
x(k-1).1 = 533790.4958405361  x(k).1 = -13729656.115103317
x(k-1).2 = 1453212.5736072005  x(k).2 = -37397084.67781964
x(k-1).3 = 488765.94612544717  x(k).3 = -12573299.366864337
x(k-1).4 = 383438.313011941  x(k).4 = -9852140.734546535
x(k-1).5 = 3500100.4020555657  x(k).5 = -90013159.82568836
x(k-1).6 = 2157173.1725939335  x(k).6 = -55519265.89179126
x(k-1).7 = 307783.1700647475  x(k).7 = -7903807.567388715
x(k-1).8 = 1047472.2250884844  x(k).8 = -26898901.14263623
x(k-1).9 = 321841.612959613  x(k).9 = -8270545.509999491
x(k-1).10 = 354001.1008981198  x(k).10 = -9088738.441743122
x(k-1).11 = 2062036.067733548  x(k).11 = -52927075.97870986
x(k-1).12 = 503768.3849333461  x(k).12 = -12957240.897024151
x(k-1).13 = 389244.2664803493  x(k).13 = -10005403.325144958
x(k-1).14 = 500011.8540284639  x(k).14 = -12842188.24922105
x(k-1).15 = 394993.77086418663  x(k).15 = -10152967.497275256
x(k-1).16 = 1091909.8458851425  x(k).16 = -28091121.020444665
x(k-1).17 = 511679.22105292755  x(k).17 = -13152567.764535708
x(k-1).18 = 261027.93790666768  x(k).18 = -6701604.261731227
x(k-1).19 = 382740.7256615537  x(k).19 = -9856140.239477169
x(k-1).20 = 1164123.5735039322  x(k).20 = -29925198.140523586
dr = 1.0388843187910919  precisão: 1e-10


iteração: 7
x(k-1).1 = -13729656.115103317  x(k).1 = 352980738.5520349
x(k-1).2 = -37397084.67781964  x(k).2 = 961258388.0714376
x(k-1).3 = -12573299.366864337  x(k).3 = 323219618.7735146
x(k-1).4 = -9852140.734546535  x(k).4 = 253312120.32853535
x(k-1).5 = -90013159.82568836  x(k).5 = 2313783226.4413805
x(k-1).6 = -55519265.89179126  x(k).6 = 1426950176.2122533
x(k-1).7 = -7903807.567388715  x(k).7 = 203257433.63291785
x(k-1).8 = -26898901.14263623  x(k).8 = 691716592.4437373
x(k-1).9 = -8270545.509999491  x(k).9 = 212631704.51433125
x(k-1).10 = -9088738.441743122  x(k).10 = 233721712.20551673
x(k-1).11 = -52927075.97870986  x(k).11 = 1361243677.0690112
x(k-1).12 = -12957240.897024151  x(k).12 = 333095385.2269167
x(k-1).13 = -10005403.325144958  x(k).13 = 257207418.3592709
x(k-1).14 = -12842188.24922105  x(k).14 = 330249613.04283273
x(k-1).15 = -10152967.497275256  x(k).15 = 261060479.08976805
x(k-1).16 = -28091121.020444665  x(k).16 = 722118398.295048
x(k-1).17 = -13152567.764535708  x(k).17 = 338153925.80512017
x(k-1).18 = -6701604.261731227  x(k).18 = 172320944.58730024
x(k-1).19 = -9856140.239477169  x(k).19 = 253286409.05424014
x(k-1).20 = -29925198.140523586  x(k).20 = 769277826.8219721
dr = 1.0389030220277504  precisão: 1e-10


iteração: 8
x(k-1).1 = 352980738.5520349  x(k).1 = -9074361401.357222
x(k-1).2 = 961258388.0714376  x(k).2 = -24713400090.13629
x(k-1).3 = 323219618.7735146  x(k).3 = -8309665486.634741
x(k-1).4 = 253312120.32853535  x(k).4 = -6512177924.400839
x(k-1).5 = 2313783226.4413805  x(k).5 = -59487031960.773994
x(k-1).6 = 1426950176.2122533  x(k).6 = -36687312513.33816
x(k-1).7 = 203257433.63291785  x(k).7 = -5225118995.983017
x(k-1).8 = 691716592.4437373  x(k).8 = -17782021506.16753
x(k-1).9 = 212631704.51433125  x(k).9 = -5466579647.653031
x(k-1).10 = 233721712.20551673  x(k).10 = -6008295644.0827875
x(k-1).11 = 1361243677.0690112  x(k).11 = -34993115098.50726
x(k-1).12 = 333095385.2269167  x(k).12 = -8563474460.429387
x(k-1).13 = 257207418.3592709  x(k).13 = -6612646802.343889
x(k-1).14 = 330249613.04283273  x(k).14 = -8489691699.769291
x(k-1).15 = 261060479.08976805  x(k).15 = -6711130848.483876
x(k-1).16 = 722118398.295048  x(k).16 = -18564633570.88582
x(k-1).17 = 338153925.80512017  x(k).17 = -8693322574.321476
x(k-1).18 = 172320944.58730024  x(k).18 = -4430020051.29402
x(k-1).19 = 253286409.05424014  x(k).19 = -6512316124.178756
x(k-1).20 = 769277826.8219721  x(k).20 = -19777539479.61351
dr = 1.038895590352652  precisão: 1e-10


iteração: 9
x(k-1).1 = -9074361401.357222  x(k).1 = 233293105137.7557
x(k-1).2 = -24713400090.13629  x(k).2 = 635348262765.3057
x(k-1).3 = -8309665486.634741  x(k).3 = 213629878828.18173
x(k-1).4 = -6512177924.400839  x(k).4 = 167420575176.61786
x(k-1).5 = -59487031960.773994  x(k).5 = 1529317428886.8745
x(k-1).6 = -36687312513.33816  x(k).6 = 943169497178.4149
x(k-1).7 = -5225118995.983017  x(k).7 = 134332761938.75986
x(k-1).8 = -17782021506.16753  x(k).8 = 457158704939.5352
x(k-1).9 = -5466579647.653031  x(k).9 = 140537268077.90182
x(k-1).10 = -6008295644.0827875  x(k).10 = 154467504663.51398
x(k-1).11 = -34993115098.50726  x(k).11 = 899637233786.3414
x(k-1).12 = -8563474460.429387  x(k).12 = 220156018227.8861
x(k-1).13 = -6612646802.343889  x(k).13 = 170001341865.68213
x(k-1).14 = -8489691699.769291  x(k).14 = 218262557176.90652
x(k-1).15 = -6711130848.483876  x(k).15 = 172537422555.78348
x(k-1).16 = -18564633570.88582  x(k).16 = 477273848097.3344
x(k-1).17 = -8693322574.321476  x(k).17 = 223494629029.00433
x(k-1).18 = -4430020051.29402  x(k).18 = 113890340486.07097
x(k-1).19 = -6512316124.178756  x(k).19 = 167419459595.9965
x(k-1).20 = -19777539479.61351  x(k).20 = 508453224954.6596
dr = 1.0388977663087722  precisão: 1e-10


iteração: 10
x(k-1).1 = 233293105137.7557  x(k).1 = -5997637613031.46
x(k-1).2 = 635348262765.3057  x(k).2 = -16333960646521.576
x(k-1).3 = 213629878828.18173  x(k).3 = -5492148747552.054
x(k-1).4 = 167420575176.61786  x(k).4 = -4304157929481.0522
x(k-1).5 = 1529317428886.8745  x(k).5 = -39316837995050.35
x(k-1).6 = 943169497178.4149  x(k).6 = -24247724660215.766
x(k-1).7 = 134332761938.75986  x(k).7 = -3453512251217.999
x(k-1).8 = 457158704939.5352  x(k).8 = -11752922528290.953
x(k-1).9 = 140537268077.90182  x(k).9 = -3613039748157.789
x(k-1).10 = 154467504663.51398  x(k).10 = -3971148849804.213
x(k-1).11 = 899637233786.3414  x(k).11 = -23128464118771.82
x(k-1).12 = 220156018227.8861  x(k).12 = -5659919430895.503
x(k-1).13 = 170001341865.68213  x(k).13 = -4370519394187.154
x(k-1).14 = 218262557176.90652  x(k).14 = -5611223250340.533
x(k-1).15 = 172537422555.78348  x(k).15 = -4435692070124.585
x(k-1).16 = 477273848097.3344  x(k).16 = -12270082013763.926
x(k-1).17 = 223494629029.00433  x(k).17 = -5745754741509.954
x(k-1).18 = 113890340486.07097  x(k).18 = -2927973170967.827
x(k-1).19 = 167419459595.9965  x(k).19 = -4304152970365.4424
x(k-1).20 = 508453224954.6596  x(k).20 = -13071673029610.932
dr = 1.0388972640444636  precisão: 1e-10


iteração: 11
x(k-1).1 = -5997637613031.46  x(k).1 = 154191564877869.03
x(k-1).2 = -16333960646521.576  x(k).2 = 419924908930128.0
x(k-1).3 = -5492148747552.054  x(k).3 = 141195951916219.66
x(k-1).4 = -4304157929481.0522  x(k).4 = 110654304480480.02
x(k-1).5 = -39316837995050.35  x(k).5 = 1010784063480356.9
x(k-1).6 = -24247724660215.766  x(k).6 = 623376978343194.4
x(k-1).7 = -3453512251217.999  x(k).7 = 88785313112666.98
x(k-1).8 = -11752922528290.953  x(k).8 = 302152402401384.6
x(k-1).9 = -3613039748157.789  x(k).9 = 92886465943823.31
x(k-1).10 = -3971148849804.213  x(k).10 = 102093073917804.08
x(k-1).11 = -23128464118771.82  x(k).11 = 594602674016542.6
x(k-1).12 = -5659919430895.503  x(k).12 = 145509160972073.0
x(k-1).13 = -4370519394187.154  x(k).13 = 112360296412872.47
x(k-1).14 = -5611223250340.533  x(k).14 = 144257329930751.62
x(k-1).15 = -4435692070124.585  x(k).15 = 114035953587440.88
x(k-1).16 = -12270082013763.926  x(k).16 = 315447781248378.1
x(k-1).17 = -5745754741509.954  x(k).17 = 147715827830986.06
x(k-1).18 = -2927973170967.827  x(k).18 = 75274338372548.33
x(k-1).19 = -4304152970365.4424  x(k).19 = 110654071817389.17
x(k-1).20 = -13071673029610.932  x(k).20 = 336055589387139.2
dr = 1.0388973663273575  precisão: 1e-10


iteração: 12
x(k-1).1 = 154191564877869.03  x(k).1 = -3964062743372697.5
x(k-1).2 = 419924908930128.0  x(k).2 = -1.0795719446607796e+16
x(k-1).3 = 141195951916219.66  x(k).3 = -3629963338897332.0
x(k-1).4 = 110654304480480.02  x(k).4 = -2844777363681258.0
x(k-1).5 = 1010784063480356.9  x(k).5 = -2.598593902489448e+16
x(k-1).6 = 623376978343194.4  x(k).6 = -1.6026208421571342e+16
x(k-1).7 = 88785313112666.98  x(k).7 = -2282554227376353.0
x(k-1).8 = 302152402401384.6  x(k).8 = -7767942736494039.0
x(k-1).9 = 92886465943823.31  x(k).9 = -2387989946661753.5
x(k-1).10 = 102093073917804.08  x(k).10 = -2624679383190338.5
x(k-1).11 = 594602674016542.6  x(k).11 = -1.5286457301395024e+16
x(k-1).12 = 145509160972073.0  x(k).12 = -3740850081988467.5
x(k-1).13 = 112360296412872.47  x(k).13 = -2888636562665750.5
x(k-1).14 = 144257329930751.62  x(k).14 = -3708666796530042.0
x(k-1).15 = 114035953587440.88  x(k).15 = -2931714710373482.5
x(k-1).16 = 315447781248378.1  x(k).16 = -8109749899405071.0
x(k-1).17 = 147715827830986.06  x(k).17 = -3797580922832732.0
x(k-1).18 = 75274338372548.33  x(k).18 = -1935205011854782.0
x(k-1).19 = 110654071817389.17  x(k).19 = -2844771801251809.5
x(k-1).20 = 336055589387139.2  x(k).20 = -8639550050830285.0
dr = 1.0388973460805873  precisão: 1e-10


iteração: 13
x(k-1).1 = -3964062743372697.5  x(k).1 = 1.0191087484880088e+17
x(k-1).2 = -1.0795719446607796e+16  x(k).2 = 2.77543839149309e+17
x(k-1).3 = -3629963338897332.0  x(k).3 = 9.33216118163364e+16
x(k-1).4 = -2844777363681258.0  x(k).4 = 7.313550738108664e+16
x(k-1).5 = -2.598593902489448e+16  x(k).5 = 6.680645079783315e+17
x(k-1).6 = -1.6026208421571342e+16  x(k).6 = 4.120128616122406e+17
x(k-1).7 = -2282554227376353.0  x(k).7 = 5.868148521746229e+16
x(k-1).8 = -7767942736494039.0  x(k).8 = 1.9970365364166032e+17
x(k-1).9 = -2387989946661753.5  x(k).9 = 6.139209764531326e+16
x(k-1).10 = -2624679383190338.5  x(k).10 = 6.747707549693396e+16
x(k-1).11 = -1.5286457301395024e+16  x(k).11 = 3.9299482909081005e+17
x(k-1).12 = -3740850081988467.5  x(k).12 = 9.617236613644914e+16
x(k-1).13 = -2888636562665750.5  x(k).13 = 7.426306828945997e+16
x(k-1).14 = -3708666796530042.0  x(k).14 = 9.534497711665874e+16
x(k-1).15 = -2931714710373482.5  x(k).15 = 7.537055514723013e+16
x(k-1).16 = -8109749899405071.0  x(k).16 = 2.0849106860260333e+17
x(k-1).17 = -3797580922832732.0  x(k).17 = 9.76308398887002e+16
x(k-1).18 = -1935205011854782.0  x(k).18 = 4.975158963422823e+16
x(k-1).19 = -2844771801251809.5  x(k).19 = 7.313536292458181e+16
x(k-1).20 = -8639550050830285.0  x(k).20 = 2.2211153594928842e+17
dr = 1.0388973500531138  precisão: 1e-10


iteração: 14
x(k-1).1 = 1.0191087484880088e+17  x(k).1 = -2.6199953341666806e+18
x(k-1).2 = 2.77543839149309e+17  x(k).2 = -7.135289207852995e+18
x(k-1).3 = 9.33216118163364e+16  x(k).3 = -2.3991766312403466e+18
x(k-1).4 = 7.313550738108664e+16  x(k).4 = -1.8802182763168236e+18
x(k-1).5 = 6.680645079783315e+17  x(k).5 = -1.7175065129946704e+19
x(k-1).6 = 4.120128616122406e+17  x(k).6 = -1.0592312024079553e+19
x(k-1).7 = 5.868148521746229e+16  x(k).7 = -1.5086242666273828e+18
